LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/4/2020;"6";"4";"9";"2";"60";"21";"5";"9";"0";"1020";"0";"0";""
Torino;2/4/2020;"7";"0";"13";"1";"61";"19";"6";"9";"0";"1014";"0";"0";""
Torino;3/4/2020;"9";"2";"16";"2";"57";"17";"6";"11";"0";"1013";"0";"0";""
Torino;4/4/2020;"12";"5";"18";"3";"52";"18";"6";"11";"0";"1020";"0";"0";""
Torino;5/4/2020;"12";"6";"17";"2";"51";"18";"7";"13";"0";"1024";"0";"0";""
Torino;6/4/2020;"13";"6";"19";"2";"47";"21";"7";"13";"0";"1026";"0";"0";""
Torino;7/4/2020;"15";"7";"22";"2";"41";"20";"7";"13";"0";"1028";"0";"0";""
Torino;8/4/2020;"15";"8";"22";"1";"35";"20";"6";"11";"0";"1026";"0";"0";""
Torino;9/4/2020;"16";"7";"23";"2";"37";"20";"6";"11";"0";"1022";"0";"0";""
Torino;10/4/2020;"17";"9";"25";"2";"37";"20";"5";"13";"0";"1022";"0";"0";""
Torino;11/4/2020;"15";"9";"24";"2";"41";"19";"7";"13";"0";"1022";"0";"0";""
Torino;12/4/2020;"19";"15";"22";"3";"30";"20";"9";"13";"0";"1018";"0";"0";""
Torino;13/4/2020;"15";"9";"21";"3";"42";"19";"8";"13";"0";"1014";"0";"0";""
Torino;14/4/2020;"16";"9";"23";"5";"50";"18";"10";"33";"0";"1012";"0";"0";""
Torino;15/4/2020;"12";"10";"17";"2";"48";"22";"9";"18";"0";"1024";"0";"0";""
Torino;16/4/2020;"13";"7";"20";"3";"51";"22";"5";"9";"0";"1022";"0";"0";""
Torino;17/4/2020;"17";"8";"21";"5";"44";"21";"5";"9";"0";"1018";"0";"0";""
Torino;18/4/2020;"16";"9";"23";"7";"55";"19";"5";"11";"0";"1016";"0";"0";""
Torino;19/4/2020;"15";"11";"19";"11";"75";"18";"6";"13";"0";"1014";"0";"0";"pioggia "
Torino;20/4/2020;"13";"11";"14";"12";"96";"4";"13";"28";"0";"1012";"0";"0";"pioggia nebbia "
Torino;21/4/2020;"11";"10";"12";"8";"82";"14";"13";"18";"0";"1015";"0";"0";"pioggia "
Torino;22/4/2020;"14";"9";"19";"5";"56";"20";"7";"11";"0";"1018";"0";"0";""
Torino;23/4/2020;"15";"7";"21";"6";"58";"20";"7";"11";"0";"1018";"0";"0";""
Torino;24/4/2020;"17";"10";"23";"7";"56";"20";"7";"13";"0";"1014";"0";"0";""
Torino;25/4/2020;"17";"10";"24";"10";"63";"21";"8";"15";"0";"1008";"0";"0";""
Torino;26/4/2020;"15";"12";"19";"12";"82";"20";"6";"17";"0";"1009";"0";"0";"pioggia temporale "
Torino;27/4/2020;"15";"13";"19";"13";"89";"11";"6";"17";"0";"1011";"0";"0";"pioggia temporale "
Torino;28/4/2020;"13";"12";"15";"12";"94";"14";"9";"21";"0";"1009";"0";"0";"pioggia "
Torino;29/4/2020;"15";"9";"22";"10";"74";"19";"6";"11";"0";"1007";"0";"0";"nebbia "
Torino;30/4/2020;"14";"12";"16";"10";"78";"18";"7";"15";"0";"1008";"0";"0";"pioggia "
