LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/6/2020;"20";"14";"25";"12";"63";"19";"6";"11";"0";"1017";"0";"0";""
Torino;2/6/2020;"22";"15";"28";"12";"58";"20";"7";"22";"0";"1014";"0";"0";"pioggia temporale "
Torino;3/6/2020;"19";"14";"25";"13";"68";"20";"10";"24";"0";"1008";"0";"0";"pioggia temporale "
Torino;4/6/2020;"16";"15";"20";"14";"89";"17";"8";"15";"0";"1000";"0";"0";"pioggia "
Torino;5/6/2020;"20";"14";"27";"12";"64";"20";"7";"15";"0";"998";"0";"0";""
Torino;6/6/2020;"19";"14";"24";"12";"64";"19";"7";"17";"0";"1006";"0";"0";"pioggia temporale "
Torino;7/6/2020;"18";"14";"24";"15";"86";"17";"9";"28";"0";"1005";"0";"0";"pioggia temporale "
Torino;8/6/2020;"16";"14";"20";"13";"85";"20";"6";"17";"0";"1008";"0";"0";"pioggia temporale "
Torino;9/6/2020;"15";"12";"19";"12";"82";"15";"10";"22";"0";"1010";"0";"0";"pioggia temporale "
Torino;10/6/2020;"16";"11";"22";"11";"74";"21";"6";"13";"0";"1010";"0";"0";"pioggia "
Torino;11/6/2020;"15";"14";"18";"14";"90";"11";"10";"18";"0";"1010";"0";"0";"pioggia temporale "
Torino;12/6/2020;"16";"14";"18";"14";"89";"16";"11";"18";"0";"1013";"0";"0";"pioggia "
Torino;13/6/2020;"17";"14";"22";"14";"84";"18";"6";"17";"0";"1013";"0";"0";"pioggia "
Torino;14/6/2020;"20";"13";"27";"13";"70";"19";"8";"24";"0";"1011";"0";"0";""
Torino;15/6/2020;"22";"15";"28";"13";"58";"20";"9";"33";"0";"1012";"0";"0";"pioggia temporale "
Torino;16/6/2020;"20";"16";"25";"15";"73";"21";"9";"21";"0";"1013";"0";"0";"pioggia temporale "
Torino;17/6/2020;"18";"15";"22";"15";"83";"20";"7";"17";"0";"1011";"0";"0";"pioggia temporale "
Torino;18/6/2020;"18";"13";"24";"13";"76";"19";"8";"24";"0";"1012";"0";"0";"pioggia temporale "
Torino;19/6/2020;"19";"12";"25";"13";"70";"22";"7";"13";"0";"1014";"0";"0";""
Torino;20/6/2020;"22";"16";"27";"13";"61";"20";"6";"13";"0";"1017";"0";"0";""
Torino;21/6/2020;"23";"17";"28";"13";"53";"20";"8";"13";"0";"1016";"0";"0";""
Torino;22/6/2020;"24";"17";"30";"13";"51";"21";"7";"17";"0";"1018";"0";"0";""
Torino;23/6/2020;"25";"18";"31";"14";"53";"19";"6";"13";"0";"1019";"0";"0";""
Torino;24/6/2020;"25";"19";"29";"17";"63";"20";"8";"15";"0";"1018";"0";"0";"pioggia "
Torino;25/6/2020;"24";"20";"27";"17";"67";"21";"8";"13";"0";"1018";"0";"0";""
Torino;26/6/2020;"23";"20";"27";"17";"71";"18";"8";"17";"0";"1017";"0";"0";""
Torino;27/6/2020;"23";"20";"28";"18";"74";"19";"7";"18";"0";"1017";"0";"0";"pioggia temporale "
Torino;28/6/2020;"23";"16";"29";"16";"65";"22";"6";"9";"0";"1016";"0";"0";""
Torino;29/6/2020;"25";"19";"31";"18";"66";"20";"6";"11";"0";"1011";"0";"0";""
Torino;30/6/2020;"25";"19";"29";"18";"67";"21";"7";"13";"0";"1012";"0";"0";""
