LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/4/2021;"18";"11";"25";"7";"50";"20";"6";"11";"0";"1018";"0";"0";""
Torino;2/4/2021;"18";"10";"26";"6";"46";"19";"6";"13";"0";"1012";"0";"0";""
Torino;3/4/2021;"15";"10";"21";"6";"57";"19";"12";"24";"0";"1010";"0";"0";"pioggia temporale "
Torino;4/4/2021;"12";"8";"16";"3";"52";"19";"8";"15";"0";"1017";"0";"0";""
Torino;5/4/2021;"11";"6";"16";"2";"52";"20";"7";"13";"0";"1012";"0";"0";""
Torino;6/4/2021;"9";"3";"15";"3";"57";"20";"14";"30";"0";"1003";"0";"0";""
Torino;7/4/2021;"6";"0";"12";"1";"45";"20";"10";"31";"0";"1015";"0";"0";""
Torino;8/4/2021;"8";"0";"15";"0";"31";"19";"7";"11";"0";"1023";"0";"0";""
Torino;9/4/2021;"9";"3";"15";"2";"52";"19";"7";"15";"0";"1025";"0";"0";""
Torino;10/4/2021;"10";"8";"12";"5";"72";"18";"5";"11";"0";"1021";"0";"0";"pioggia "
Torino;11/4/2021;"9";"6";"11";"6";"86";"18";"8";"13";"0";"1018";"0";"0";"pioggia "
Torino;12/4/2021;"10";"8";"14";"7";"84";"15";"7";"18";"0";"1015";"0";"0";"pioggia "
Torino;13/4/2021;"9";"2";"15";"3";"55";"20";"7";"13";"0";"1018";"0";"0";""
Torino;14/4/2021;"8";"2";"13";"1";"48";"19";"10";"17";"0";"1021";"0";"0";""
Torino;15/4/2021;"7";"4";"10";"2";"72";"20";"12";"24";"0";"1021";"0";"0";"pioggia "
Torino;16/4/2021;"7";"4";"10";"2";"70";"17";"11";"21";"0";"1019";"0";"0";"pioggia "
Torino;17/4/2021;"10";"3";"15";"1";"47";"21";"7";"15";"0";"1015";"0";"0";""
Torino;18/4/2021;"10";"6";"14";"2";"57";"21";"9";"17";"0";"1015";"0";"0";"pioggia "
Torino;19/4/2021;"11";"4";"17";"2";"55";"19";"7";"13";"0";"1015";"0";"0";""
Torino;20/4/2021;"13";"7";"19";"2";"49";"20";"7";"17";"0";"1014";"0";"0";""
Torino;21/4/2021;"12";"8";"16";"6";"69";"18";"8";"17";"0";"1017";"0";"0";"pioggia "
Torino;22/4/2021;"14";"5";"20";"5";"59";"20";"6";"11";"0";"1018";"0";"0";""
Torino;23/4/2021;"15";"9";"21";"6";"54";"19";"7";"11";"0";"1021";"0";"0";""
Torino;24/4/2021;"16";"9";"22";"6";"55";"19";"7";"11";"0";"1021";"0";"0";""
Torino;25/4/2021;"18";"10";"23";"7";"52";"20";"6";"11";"0";"1016";"0";"0";""
Torino;26/4/2021;"13";"10";"15";"8";"73";"18";"7";"13";"0";"1013";"0";"0";"pioggia "
Torino;27/4/2021;"11";"9";"14";"9";"88";"13";"7";"11";"0";"1009";"0";"0";"pioggia "
Torino;28/4/2021;"12";"11";"15";"10";"85";"9";"8";"15";"0";"1008";"0";"0";"pioggia "
Torino;29/4/2021;"13";"11";"15";"11";"88";"5";"7";"13";"0";"1008";"0";"0";"pioggia nebbia "
Torino;30/4/2021;"13";"9";"17";"11";"85";"15";"6";"15";"0";"1010";"0";"0";"pioggia nebbia "
