LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/12/2021;"3";"-1";"9";"2";"66";"20";"5";"9";"0";"1010";"0";"0";""
Torino;2/12/2021;"5";"2";"9";"2";"79";"20";"6";"13";"0";"1000";"0";"0";""
Torino;3/12/2021;"4";"-1";"10";"0";"53";"18";"8";"21";"0";"1010";"0";"0";""
Torino;4/12/2021;"3";"-1";"7";"0";"61";"19";"5";"11";"0";"1009";"0";"0";""
Torino;5/12/2021;"3";"-3";"9";"0";"61";"20";"5";"11";"0";"1002";"0";"0";""
Torino;6/12/2021;"3";"-2";"9";"0";"50";"19";"8";"15";"0";"1009";"0";"0";""
Torino;7/12/2021;"3";"-1";"9";"0";"51";"20";"6";"11";"0";"1012";"0";"0";""
Torino;8/12/2021;"1";"0";"4";"1";"93";"5";"7";"13";"0";"1004";"0";"0";"neve nebbia "
Torino;9/12/2021;"1";"-2";"6";"1";"86";"15";"5";"9";"0";"1001";"0";"0";"nebbia "
Torino;10/12/2021;"0";"-2";"2";"0";"75";"20";"6";"15";"0";"1002";"0";"0";""
Torino;11/12/2021;"3";"-4";"9";"0";"61";"20";"6";"15";"0";"1009";"0";"0";""
Torino;12/12/2021;"3";"-3";"9";"0";"57";"22";"5";"9";"0";"1021";"0";"0";""
Torino;13/12/2021;"4";"-1";"11";"0";"65";"17";"5";"9";"0";"1024";"0";"0";""
Torino;14/12/2021;"4";"0";"11";"1";"72";"20";"5";"11";"0";"1025";"0";"0";""
Torino;15/12/2021;"3";"0";"8";"2";"81";"8";"5";"9";"0";"1028";"0";"0";""
Torino;16/12/2021;"3";"0";"9";"1";"79";"8";"5";"11";"0";"1030";"0";"0";""
Torino;17/12/2021;"4";"-1";"9";"1";"79";"9";"7";"13";"0";"1031";"0";"0";""
Torino;18/12/2021;"3";"-3";"9";"1";"82";"12";"4";"8";"0";"1031";"0";"0";"nebbia "
Torino;19/12/2021;"3";"-2";"10";"1";"72";"19";"4";"8";"0";"1023";"0";"0";""
Torino;20/12/2021;"6";"0";"14";"2";"66";"19";"8";"15";"0";"1017";"0";"0";""
Torino;21/12/2021;"5";"3";"8";"2";"83";"13";"4";"9";"0";"1022";"0";"0";""
Torino;22/12/2021;"4";"2";"6";"2";"90";"5";"5";"9";"0";"1024";"0";"0";"nebbia "
Torino;23/12/2021;"2";"-1";"6";"1";"93";"2";"4";"8";"0";"1022";"0";"0";"nebbia "
Torino;24/12/2021;"1";"-3";"5";"1";"87";"5";"4";"9";"0";"1013";"0";"0";"nebbia "
Torino;25/12/2021;"2";"0";"5";"2";"90";"6";"4";"9";"0";"1008";"0";"0";""
Torino;26/12/2021;"2";"-1";"8";"2";"90";"7";"4";"9";"0";"1007";"0";"0";"nebbia "
Torino;27/12/2021;"3";"0";"5";"3";"91";"12";"4";"9";"0";"1008";"0";"0";""
Torino;28/12/2021;"5";"3";"10";"3";"87";"9";"4";"9";"0";"1008";"0";"0";"pioggia "
Torino;29/12/2021;"7";"0";"14";"3";"79";"15";"6";"13";"0";"1009";"0";"0";""
Torino;30/12/2021;"3";"0";"7";"3";"100";"2";"5";"9";"0";"1019";"0";"0";"nebbia "
Torino;31/12/2021;"6";"1";"14";"4";"84";"9";"4";"9";"0";"1024";"0";"0";""
