LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/9/2022;"23";"20";"28";"17";"70";"19";"9";"17";"0";"1013";"0";"0";"pioggia temporale "
Torino;2/9/2022;"21";"18";"25";"16";"74";"20";"8";"17";"0";"1015";"0";"0";"pioggia temporale "
Torino;3/9/2022;"21";"18";"24";"17";"79";"19";"7";"13";"0";"1016";"0";"0";""
Torino;4/9/2022;"22";"17";"28";"16";"70";"22";"6";"13";"0";"1020";"0";"0";""
Torino;5/9/2022;"23";"19";"28";"17";"68";"20";"7";"11";"0";"1022";"0";"0";""
Torino;6/9/2022;"24";"19";"30";"17";"67";"20";"6";"17";"0";"1019";"0";"0";""
Torino;7/9/2022;"23";"20";"27";"18";"74";"19";"7";"15";"0";"1016";"0";"0";"pioggia temporale "
Torino;8/9/2022;"22";"18";"27";"18";"80";"16";"6";"11";"0";"1011";"0";"0";"pioggia "
Torino;9/9/2022;"22";"17";"27";"16";"71";"21";"7";"13";"0";"1012";"0";"0";""
Torino;10/9/2022;"21";"16";"27";"10";"52";"19";"8";"17";"0";"1014";"0";"0";""
Torino;11/9/2022;"22";"13";"28";"11";"52";"20";"6";"13";"0";"1015";"0";"0";""
Torino;12/9/2022;"22";"15";"27";"12";"57";"19";"7";"11";"0";"1016";"0";"0";""
Torino;13/9/2022;"22";"16";"27";"14";"62";"21";"5";"9";"0";"1014";"0";"0";""
Torino;14/9/2022;"22";"18";"26";"17";"75";"17";"7";"13";"0";"1011";"0";"0";"pioggia "
Torino;15/9/2022;"23";"16";"31";"16";"68";"19";"7";"13";"0";"1007";"0";"0";"pioggia "
Torino;16/9/2022;"23";"16";"30";"11";"45";"18";"8";"17";"0";"1004";"0";"0";""
Torino;17/9/2022;"21";"14";"25";"2";"23";"18";"14";"28";"0";"1007";"0";"0";""
Torino;18/9/2022;"16";"9";"24";"2";"41";"20";"8";"18";"0";"1014";"0";"0";""
Torino;19/9/2022;"18";"10";"24";"5";"44";"20";"9";"18";"0";"1013";"0";"0";""
Torino;20/9/2022;"17";"10";"23";"5";"46";"19";"6";"11";"0";"1017";"0";"0";""
Torino;21/9/2022;"15";"12";"17";"9";"69";"20";"9";"15";"0";"1021";"0";"0";"pioggia "
Torino;22/9/2022;"16";"13";"21";"7";"56";"19";"7";"11";"0";"1021";"0";"0";""
Torino;23/9/2022;"17";"15";"21";"7";"51";"19";"6";"9";"0";"1020";"0";"0";""
Torino;24/9/2022;"14";"13";"17";"11";"85";"11";"7";"11";"0";"1016";"0";"0";"pioggia "
Torino;25/9/2022;"15";"12";"20";"12";"81";"12";"4";"9";"0";"1012";"0";"0";"pioggia nebbia "
Torino;26/9/2022;"16";"10";"21";"10";"70";"19";"6";"13";"0";"1006";"0";"0";""
Torino;27/9/2022;"17";"10";"23";"8";"59";"18";"7";"17";"0";"1000";"0";"0";""
Torino;28/9/2022;"16";"10";"21";"8";"60";"20";"8";"17";"0";"1000";"0";"0";""
Torino;29/9/2022;"16";"11";"21";"10";"73";"19";"6";"11";"0";"999";"0";"0";""
Torino;30/9/2022;"14";"12";"16";"12";"88";"16";"8";"13";"0";"1008";"0";"0";"pioggia "
