LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/2/2021;"6";"3";"8";"4";"84";"18";"7";"11";"0";"999";"0";"0";"pioggia "
Torino;2/2/2021;"3";"0";"10";"4";"92";"5";"5";"11";"0";"1011";"0";"0";"nebbia "
Torino;3/2/2021;"5";"4";"7";"5";"97";"3";"4";"9";"0";"1014";"0";"0";""
Torino;4/2/2021;"7";"3";"10";"5";"89";"6";"6";"13";"0";"1016";"0";"0";"nebbia "
Torino;5/2/2021;"8";"6";"10";"7";"96";"6";"4";"9";"0";"1017";"0";"0";"pioggia nebbia "
Torino;6/2/2021;"7";"6";"8";"7";"99";"2";"4";"9";"0";"1013";"0";"0";"pioggia nebbia "
Torino;7/2/2021;"7";"6";"8";"6";"93";"14";"8";"15";"0";"998";"0";"0";"pioggia nebbia "
Torino;8/2/2021;"6";"3";"11";"3";"84";"11";"6";"13";"0";"994";"0";"0";"nebbia "
Torino;9/2/2021;"6";"1";"11";"3";"72";"20";"6";"13";"0";"999";"0";"0";""
Torino;10/2/2021;"7";"2";"11";"4";"85";"15";"6";"15";"0";"999";"0";"0";"pioggia nebbia "
Torino;11/2/2021;"6";"0";"12";"2";"70";"19";"9";"15";"0";"1010";"0";"0";""
Torino;12/2/2021;"3";"-1";"6";"3";"82";"14";"11";"17";"0";"1022";"0";"0";"pioggia neve "
Torino;13/2/2021;"-1";"-3";"0";"0";"77";"15";"8";"15";"0";"1029";"0";"0";"pioggia neve "
Torino;14/2/2021;"-1";"-6";"6";"0";"60";"17";"8";"15";"0";"1037";"0";"0";""
Torino;15/2/2021;"1";"-4";"7";"0";"53";"20";"5";"11";"0";"1036";"0";"0";""
Torino;16/2/2021;"3";"-3";"9";"0";"62";"21";"4";"9";"0";"1026";"0";"0";""
Torino;17/2/2021;"6";"0";"14";"2";"66";"20";"7";"11";"0";"1021";"0";"0";""
Torino;18/2/2021;"6";"1";"9";"4";"84";"8";"5";"11";"0";"1023";"0";"0";""
Torino;19/2/2021;"7";"3";"13";"5";"83";"8";"5";"9";"0";"1023";"0";"0";""
Torino;20/2/2021;"7";"1";"14";"4";"81";"8";"5";"9";"0";"1025";"0";"0";""
Torino;21/2/2021;"8";"4";"12";"6";"87";"5";"7";"15";"0";"1026";"0";"0";""
Torino;22/2/2021;"9";"4";"13";"5";"77";"6";"5";"9";"0";"1031";"0";"0";""
Torino;23/2/2021;"10";"3";"17";"3";"64";"17";"5";"9";"0";"1035";"0";"0";""
Torino;24/2/2021;"12";"5";"20";"3";"59";"20";"5";"9";"0";"1035";"0";"0";"pioggia "
Torino;25/2/2021;"13";"5";"20";"3";"53";"18";"6";"15";"0";"1032";"0";"0";""
Torino;26/2/2021;"12";"5";"19";"3";"54";"21";"5";"11";"0";"1027";"0";"0";""
Torino;27/2/2021;"13";"7";"18";"4";"55";"21";"8";"21";"0";"1025";"0";"0";""
Torino;28/2/2021;"10";"5";"14";"2";"55";"19";"9";"17";"0";"1031";"0";"0";""
