LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/2/2018;"6";"4";"8";"4";"91";"3";"4";"9";"0";"1005";"0";"0";"nebbia "
Torino;2/2/2018;"5";"0";"10";"2";"67";"16";"6";"9";"0";"1003";"0";"0";""
Torino;3/2/2018;"4";"0";"10";"0";"52";"20";"8";"15";"0";"1002";"0";"0";""
Torino;4/2/2018;"3";"-1";"7";"0";"60";"19";"7";"15";"0";"1013";"0";"0";""
Torino;5/2/2018;"2";"1";"3";"1";"89";"8";"8";"13";"0";"1021";"0";"0";"pioggia neve "
Torino;6/2/2018;"2";"2";"3";"1";"93";"5";"5";"9";"0";"1014";"0";"0";"pioggia neve "
Torino;7/2/2018;"4";"0";"9";"2";"87";"15";"5";"8";"0";"1007";"0";"0";"pioggia nebbia "
Torino;8/2/2018;"6";"1";"10";"2";"76";"20";"6";"15";"0";"1012";"0";"0";""
Torino;9/2/2018;"5";"3";"8";"2";"81";"16";"7";"11";"0";"1014";"0";"0";"pioggia "
Torino;10/2/2018;"5";"2";"10";"2";"70";"20";"8";"18";"0";"1012";"0";"0";"pioggia "
Torino;11/2/2018;"4";"-1";"8";"1";"69";"13";"7";"13";"0";"1010";"0";"0";""
Torino;12/2/2018;"3";"-2";"8";"1";"67";"6";"6";"13";"0";"1009";"0";"0";"neve "
Torino;13/2/2018;"2";"-3";"7";"0";"36";"20";"7";"13";"0";"1012";"0";"0";""
Torino;14/2/2018;"3";"-2";"8";"0";"45";"21";"6";"11";"0";"1014";"0";"0";""
Torino;15/2/2018;"3";"-1";"8";"0";"61";"20";"5";"9";"0";"1021";"0";"0";""
Torino;16/2/2018;"3";"-1";"9";"0";"68";"10";"4";"8";"0";"1023";"0";"0";""
Torino;17/2/2018;"5";"3";"6";"3";"86";"4";"4";"9";"0";"1021";"0";"0";"pioggia nebbia "
Torino;18/2/2018;"3";"0";"5";"3";"97";"2";"5";"11";"0";"1019";"0";"0";"pioggia nebbia "
Torino;19/2/2018;"4";"3";"7";"2";"78";"19";"7";"11";"0";"1017";"0";"0";"pioggia "
Torino;20/2/2018;"5";"2";"8";"1";"68";"12";"5";"9";"0";"1009";"0";"0";""
Torino;21/2/2018;"5";"1";"11";"0";"64";"13";"6";"15";"0";"1009";"0";"0";""
Torino;22/2/2018;"3";"1";"4";"1";"75";"20";"5";"13";"0";"1007";"0";"0";"pioggia "
Torino;23/2/2018;"2";"0";"3";"2";"98";"4";"5";"13";"0";"1008";"0";"0";"pioggia neve "
Torino;24/2/2018;"3";"0";"6";"3";"98";"11";"5";"11";"0";"1010";"0";"0";"pioggia neve "
Torino;25/2/2018;"3";"0";"6";"4";"93";"4";"10";"24";"0";"1011";"0";"0";"pioggia neve "
Torino;26/2/2018;"-3";"-4";"-2";"0";"84";"11";"6";"17";"0";"1011";"0";"0";"neve "
Torino;27/2/2018;"-4";"-6";"-2";"0";"76";"16";"7";"13";"0";"1009";"0";"0";"neve "
Torino;28/2/2018;"-4";"-6";"-3";"0";"71";"17";"7";"9";"0";"1014";"0";"0";"neve "
