LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/6/2022;"21";"16";"25";"14";"64";"19";"6";"11";"0";"1015";"0";"0";""
Torino;2/6/2022;"24";"19";"29";"16";"62";"18";"7";"11";"0";"1017";"0";"0";""
Torino;3/6/2022;"21";"19";"23";"18";"82";"13";"8";"17";"0";"1019";"0";"0";"pioggia "
Torino;4/6/2022;"23";"19";"29";"18";"74";"12";"5";"11";"0";"1019";"0";"0";""
Torino;5/6/2022;"25";"21";"29";"19";"70";"19";"8";"22";"0";"1015";"0";"0";"pioggia "
Torino;6/6/2022;"23";"18";"29";"16";"66";"20";"9";"22";"0";"1015";"0";"0";"pioggia temporale "
Torino;7/6/2022;"23";"18";"27";"17";"72";"21";"10";"22";"0";"1012";"0";"0";"pioggia temporale "
Torino;8/6/2022;"21";"17";"25";"14";"63";"19";"8";"13";"0";"1010";"0";"0";""
Torino;9/6/2022;"22";"15";"29";"9";"49";"21";"9";"21";"0";"1009";"0";"0";""
Torino;10/6/2022;"23";"14";"30";"3";"29";"20";"8";"13";"0";"1016";"0";"0";""
Torino;11/6/2022;"24";"16";"31";"8";"37";"21";"7";"13";"0";"1019";"0";"0";""
Torino;12/6/2022;"26";"17";"32";"12";"44";"20";"8";"13";"0";"1020";"0";"0";""
Torino;13/6/2022;"27";"20";"32";"14";"45";"20";"8";"15";"0";"1015";"0";"0";""
Torino;14/6/2022;"26";"21";"30";"14";"50";"18";"11";"18";"0";"1017";"0";"0";""
Torino;15/6/2022;"26";"22";"30";"17";"57";"19";"8";"13";"0";"1018";"0";"0";""
Torino;16/6/2022;"28";"21";"34";"19";"60";"21";"8";"17";"0";"1017";"0";"0";""
Torino;17/6/2022;"28";"22";"34";"16";"49";"19";"7";"15";"0";"1019";"0";"0";""
Torino;18/6/2022;"27";"23";"32";"16";"53";"21";"9";"15";"0";"1021";"0";"0";""
Torino;19/6/2022;"27";"21";"32";"16";"52";"18";"9";"13";"0";"1016";"0";"0";""
Torino;20/6/2022;"28";"22";"34";"15";"46";"20";"9";"17";"0";"1013";"0";"0";""
Torino;21/6/2022;"26";"20";"31";"19";"67";"21";"7";"15";"0";"1012";"0";"0";"pioggia temporale "
Torino;22/6/2022;"23";"20";"24";"20";"83";"20";"8";"15";"0";"1013";"0";"0";"pioggia temporale "
Torino;23/6/2022;"23";"19";"27";"19";"79";"17";"7";"15";"0";"1013";"0";"0";"pioggia "
Torino;24/6/2022;"22";"19";"26";"17";"73";"19";"11";"26";"0";"1011";"0";"0";"pioggia temporale "
Torino;25/6/2022;"23";"17";"28";"16";"65";"21";"8";"24";"0";"1013";"0";"0";"pioggia temporale "
Torino;26/6/2022;"23";"19";"28";"18";"76";"20";"9";"28";"0";"1015";"0";"0";"pioggia temporale "
Torino;27/6/2022;"27";"20";"31";"17";"58";"21";"11";"18";"0";"1015";"0";"0";""
Torino;28/6/2022;"23";"17";"27";"17";"73";"17";"11";"37";"0";"1015";"0";"0";"pioggia temporale "
Torino;29/6/2022;"24";"17";"31";"16";"64";"19";"7";"13";"0";"1012";"0";"0";""
Torino;30/6/2022;"25";"18";"30";"18";"67";"19";"9";"52";"0";"1012";"0";"0";"pioggia temporale "
