LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/6/2021;"19";"13";"24";"11";"63";"21";"5";"9";"0";"1017";"0";"0";""
Torino;2/6/2021;"18";"16";"20";"12";"68";"20";"10";"26";"0";"1019";"0";"0";"pioggia "
Torino;3/6/2021;"21";"12";"26";"12";"63";"21";"6";"11";"0";"1023";"0";"0";""
Torino;4/6/2021;"22";"18";"28";"14";"63";"19";"7";"21";"0";"1023";"0";"0";"pioggia temporale "
Torino;5/6/2021;"21";"17";"25";"15";"71";"18";"8";"21";"0";"1020";"0";"0";"pioggia temporale "
Torino;6/6/2021;"22";"15";"27";"14";"64";"19";"6";"15";"0";"1017";"0";"0";""
Torino;7/6/2021;"20";"16";"25";"16";"81";"18";"8";"22";"0";"1018";"0";"0";"pioggia temporale "
Torino;8/6/2021;"20";"16";"26";"15";"75";"19";"8";"22";"0";"1019";"0";"0";"pioggia temporale "
Torino;9/6/2021;"22";"15";"28";"13";"63";"20";"7";"18";"0";"1018";"0";"0";"pioggia temporale "
Torino;10/6/2021;"23";"16";"28";"15";"64";"19";"6";"11";"0";"1018";"0";"0";""
Torino;11/6/2021;"24";"19";"28";"16";"60";"20";"8";"15";"0";"1017";"0";"0";"pioggia temporale "
Torino;12/6/2021;"24";"18";"30";"17";"65";"20";"7";"18";"0";"1019";"0";"0";""
Torino;13/6/2021;"26";"18";"32";"15";"54";"20";"6";"13";"0";"1018";"0";"0";""
Torino;14/6/2021;"25";"20";"29";"16";"60";"19";"9";"15";"0";"1018";"0";"0";""
Torino;15/6/2021;"24";"21";"28";"16";"61";"20";"8";"15";"0";"1019";"0";"0";""
Torino;16/6/2021;"24";"20";"28";"18";"70";"19";"10";"42";"0";"1017";"0";"0";"pioggia temporale "
Torino;17/6/2021;"25";"20";"30";"19";"72";"16";"8";"18";"0";"1017";"0";"0";"pioggia "
Torino;18/6/2021;"26";"21";"31";"16";"59";"20";"7";"11";"0";"1017";"0";"0";""
Torino;19/6/2021;"25";"20";"30";"17";"61";"19";"6";"11";"0";"1016";"0";"0";""
Torino;20/6/2021;"23";"21";"28";"19";"77";"18";"9";"24";"0";"1012";"0";"0";"pioggia temporale "
Torino;21/6/2021;"23";"19";"28";"18";"74";"19";"10";"24";"0";"1009";"0";"0";"pioggia temporale "
Torino;22/6/2021;"22";"18";"27";"17";"74";"20";"9";"31";"0";"1011";"0";"0";"pioggia temporale "
Torino;23/6/2021;"21";"17";"27";"15";"70";"21";"8";"30";"0";"1015";"0";"0";"pioggia temporale "
Torino;24/6/2021;"21";"17";"27";"15";"67";"20";"8";"35";"0";"1017";"0";"0";"pioggia temporale "
Torino;25/6/2021;"22";"13";"28";"13";"60";"21";"7";"11";"0";"1015";"0";"0";""
Torino;26/6/2021;"23";"17";"28";"15";"61";"19";"7";"13";"0";"1016";"0";"0";""
Torino;27/6/2021;"25";"19";"28";"16";"62";"20";"7";"13";"0";"1016";"0";"0";""
Torino;28/6/2021;"25";"20";"30";"17";"63";"19";"10";"24";"0";"1015";"0";"0";"pioggia temporale "
Torino;29/6/2021;"23";"19";"27";"16";"66";"20";"9";"24";"0";"1011";"0";"0";"pioggia temporale "
Torino;30/6/2021;"23";"16";"30";"11";"53";"18";"9";"26";"0";"1010";"0";"0";""
