LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/6/2018;"21";"14";"26";"13";"63";"20";"6";"11";"0";"1017";"0";"0";""
Torino;2/6/2018;"22";"16";"27";"16";"71";"18";"6";"11";"0";"1017";"0";"0";""
Torino;3/6/2018;"22";"17";"25";"17";"75";"20";"7";"15";"0";"1017";"0";"0";"pioggia temporale "
Torino;4/6/2018;"19";"17";"20";"16";"84";"15";"8";"21";"0";"1012";"0";"0";"pioggia "
Torino;5/6/2018;"21";"14";"27";"16";"73";"18";"5";"9";"0";"1010";"0";"0";"nebbia "
Torino;6/6/2018;"20";"17";"23";"17";"84";"18";"8";"21";"0";"1013";"0";"0";"pioggia temporale "
Torino;7/6/2018;"20";"16";"25";"16";"80";"19";"9";"22";"0";"1016";"0";"0";"pioggia temporale "
Torino;8/6/2018;"19";"17";"22";"16";"81";"21";"7";"18";"0";"1014";"0";"0";"pioggia "
Torino;9/6/2018;"22";"14";"28";"15";"69";"21";"6";"11";"0";"1012";"0";"0";""
Torino;10/6/2018;"23";"17";"28";"18";"76";"21";"5";"13";"0";"1012";"0";"0";""
Torino;11/6/2018;"22";"17";"25";"19";"83";"21";"9";"21";"0";"1011";"0";"0";"pioggia temporale "
Torino;12/6/2018;"20";"17";"26";"16";"80";"18";"8";"22";"0";"1008";"0";"0";"pioggia temporale "
Torino;13/6/2018;"19";"16";"23";"16";"82";"19";"6";"15";"0";"1006";"0";"0";"pioggia "
Torino;14/6/2018;"22";"15";"27";"14";"64";"20";"6";"11";"0";"1009";"0";"0";""
Torino;15/6/2018;"22";"17";"26";"15";"67";"19";"6";"13";"0";"1012";"0";"0";""
Torino;16/6/2018;"23";"18";"27";"15";"61";"21";"7";"11";"0";"1013";"0";"0";""
Torino;17/6/2018;"24";"19";"29";"17";"63";"20";"6";"11";"0";"1014";"0";"0";"pioggia "
Torino;18/6/2018;"25";"20";"29";"16";"58";"19";"8";"11";"0";"1017";"0";"0";"pioggia temporale "
Torino;19/6/2018;"25";"19";"30";"16";"57";"20";"6";"11";"0";"1020";"0";"0";""
Torino;20/6/2018;"26";"21";"30";"17";"57";"21";"7";"11";"0";"1020";"0";"0";""
Torino;21/6/2018;"26";"20";"31";"17";"60";"21";"7";"13";"0";"1016";"0";"0";""
Torino;22/6/2018;"25";"21";"30";"16";"58";"20";"10";"26";"0";"1012";"0";"0";"pioggia temporale "
Torino;23/6/2018;"21";"18";"25";"14";"64";"20";"9";"13";"0";"1019";"0";"0";""
Torino;24/6/2018;"21";"17";"24";"13";"64";"20";"7";"13";"0";"1018";"0";"0";""
Torino;25/6/2018;"21";"15";"26";"13";"60";"19";"8";"15";"0";"1016";"0";"0";""
Torino;26/6/2018;"22";"19";"26";"12";"53";"20";"9";"15";"0";"1019";"0";"0";""
Torino;27/6/2018;"23";"16";"29";"14";"58";"21";"6";"11";"0";"1015";"0";"0";""
Torino;28/6/2018;"23";"20";"28";"10";"44";"20";"8";"22";"0";"1012";"0";"0";""
Torino;29/6/2018;"25";"19";"30";"12";"44";"21";"6";"11";"0";"1011";"0";"0";""
Torino;30/6/2018;"26";"19";"32";"13";"47";"19";"6";"13";"0";"1010";"0";"0";""
