LOCALITA,TMEDIA °C,TMIN °C,TMAX °C,UMIDITA %,PRESSIONESLM mb,FENOMENI,STAGIONE
Torino,14.0,9.0,18.0,65.0,1020.0,1,spring
Torino,13.0,9.0,18.0,63.0,1014.0,1,spring
Torino,16.0,8.0,23.0,58.0,1011.0,0,spring
Torino,18.0,10.0,24.0,51.0,1020.0,0,spring
Torino,19.0,14.0,24.0,54.0,1028.0,0,spring
Torino,19.0,12.0,25.0,51.0,1028.0,0,spring
Torino,20.0,12.0,27.0,46.0,1025.0,0,spring
Torino,21.0,12.0,28.0,42.0,1020.0,0,spring
Torino,21.0,14.0,26.0,49.0,1017.0,0,spring
Torino,20.0,15.0,26.0,56.0,1016.0,1,spring
Torino,20.0,13.0,25.0,55.0,1016.0,0,spring
Torino,20.0,14.0,26.0,62.0,1015.0,0,spring
Torino,20.0,12.0,25.0,63.0,1012.0,0,spring
Torino,16.0,14.0,19.0,77.0,1014.0,1,spring
Torino,18.0,15.0,21.0,73.0,1014.0,1,spring
Torino,17.0,13.0,22.0,78.0,1010.0,1,spring
Torino,15.0,10.0,21.0,63.0,1008.0,0,spring
Torino,13.0,10.0,16.0,72.0,1012.0,1,spring
Torino,12.0,10.0,14.0,86.0,1011.0,1,spring
Torino,14.0,12.0,18.0,88.0,1007.0,1,spring
Torino,16.0,13.0,20.0,83.0,1011.0,1,spring
Torino,19.0,12.0,25.0,72.0,1017.0,1,spring
Torino,21.0,16.0,27.0,64.0,1017.0,1,spring
Torino,19.0,16.0,23.0,74.0,1016.0,1,spring
Torino,20.0,15.0,26.0,65.0,1009.0,1,spring
Torino,17.0,14.0,21.0,78.0,1007.0,1,spring
Torino,18.0,12.0,22.0,74.0,1011.0,1,spring
Torino,18.0,13.0,23.0,74.0,1016.0,1,spring
Torino,19.0,13.0,24.0,72.0,1015.0,1,spring
Torino,16.0,12.0,19.0,82.0,1010.0,1,spring
Torino,12.0,8.0,16.0,77.0,1010.0,1,spring
Torino,14.0,10.0,19.0,72.0,1009.0,1,spring
Torino,16.0,11.0,21.0,76.0,1012.0,1,spring
Torino,17.0,12.0,22.0,77.0,1015.0,1,spring
Torino,18.0,12.0,23.0,68.0,1016.0,1,spring
Torino,18.0,15.0,22.0,74.0,1017.0,1,spring
Torino,17.0,14.0,20.0,80.0,1017.0,1,spring
Torino,17.0,14.0,22.0,73.0,1016.0,1,spring
Torino,16.0,15.0,19.0,85.0,1014.0,1,spring
Torino,18.0,15.0,23.0,76.0,1017.0,1,spring
Torino,20.0,14.0,25.0,64.0,1017.0,0,spring
Torino,22.0,15.0,27.0,66.0,1016.0,0,spring
Torino,21.0,17.0,27.0,74.0,1019.0,1,spring
Torino,21.0,16.0,26.0,69.0,1019.0,1,spring
Torino,18.0,15.0,21.0,82.0,1020.0,1,spring
Torino,19.0,15.0,24.0,82.0,1017.0,1,spring
Torino,18.0,14.0,23.0,84.0,1016.0,1,spring
Torino,20.0,16.0,24.0,79.0,1017.0,1,spring
Torino,21.0,14.0,26.0,63.0,1017.0,0,summer
Torino,22.0,16.0,27.0,71.0,1017.0,0,summer
Torino,22.0,17.0,25.0,75.0,1017.0,1,summer
Torino,19.0,17.0,20.0,84.0,1012.0,1,summer
Torino,21.0,14.0,27.0,73.0,1010.0,0,summer
Torino,20.0,17.0,23.0,84.0,1013.0,1,summer
Torino,20.0,16.0,25.0,80.0,1016.0,1,summer
Torino,19.0,17.0,22.0,81.0,1014.0,1,summer
Torino,22.0,14.0,28.0,69.0,1012.0,0,summer
Torino,23.0,17.0,28.0,76.0,1012.0,0,summer
Torino,22.0,17.0,25.0,83.0,1011.0,1,summer
Torino,20.0,17.0,26.0,80.0,1008.0,1,summer
Torino,19.0,16.0,23.0,82.0,1006.0,1,summer
Torino,22.0,15.0,27.0,64.0,1009.0,0,summer
Torino,22.0,17.0,26.0,67.0,1012.0,0,summer
Torino,23.0,18.0,27.0,61.0,1013.0,0,summer
Torino,24.0,19.0,29.0,63.0,1014.0,1,summer
Torino,25.0,20.0,29.0,58.0,1017.0,1,summer
Torino,25.0,19.0,30.0,57.0,1020.0,0,summer
Torino,26.0,21.0,30.0,57.0,1020.0,0,summer
Torino,26.0,20.0,31.0,60.0,1016.0,0,summer
Torino,25.0,21.0,30.0,58.0,1012.0,1,summer
Torino,21.0,18.0,25.0,64.0,1019.0,0,summer
Torino,21.0,17.0,24.0,64.0,1018.0,0,summer
Torino,21.0,15.0,26.0,60.0,1016.0,0,summer
Torino,22.0,19.0,26.0,53.0,1019.0,0,summer
Torino,23.0,16.0,29.0,58.0,1015.0,0,summer
Torino,23.0,20.0,28.0,44.0,1012.0,0,summer
Torino,25.0,19.0,30.0,44.0,1011.0,0,summer
Torino,26.0,19.0,32.0,47.0,1010.0,0,summer
Torino,26.0,20.0,31.0,59.0,1011.0,0,summer
Torino,25.0,22.0,29.0,63.0,1014.0,0,summer
Torino,24.0,18.0,31.0,69.0,1014.0,1,summer
Torino,24.0,18.0,30.0,70.0,1016.0,1,summer
Torino,22.0,19.0,25.0,77.0,1014.0,1,summer
Torino,24.0,18.0,31.0,62.0,1014.0,1,summer
Torino,25.0,19.0,30.0,58.0,1017.0,1,summer
Torino,25.0,20.0,29.0,55.0,1017.0,0,summer
Torino,25.0,19.0,29.0,60.0,1016.0,0,summer
Torino,25.0,21.0,28.0,67.0,1013.0,1,summer
Torino,23.0,20.0,26.0,75.0,1011.0,0,summer
Torino,22.0,19.0,27.0,80.0,1015.0,1,summer
